"player"	"number"	"team"	"league"	"nationality"	"region"	"height"	"weight"	"age"	"foot"	"position"	"attacking"	"ball_control"	"dribbling"	"low_pass"	"air_pass"	"finishing"	"place_kicking"	"swerve"	"header"	"defensive"	"ball_winning"	"kicking_power"	"speed"	"explosive_power"	"unwavering_balance"	"physical_contact"	"jump"	"goalkeeping"	"gk_catch"	"clearing"	"reflexes"	"coverage"	"stamina"	"weak_foot_usage"	"weak_foot_accuracy"	"form"	"injury_resistance"	"overall"
"J. MERCIER"	"5"	"ATLÉTICO TUCUMÁN"	"Superliga Quilmes Clásica"	"ARGENTINA"	"South America"	"185"	"72"	"38"	"Right foot"	"DMF"	"66"	"76"	"72"	"80"	"79"	"68"	"59"	"64"	"72"	"76"	"78"	"80"	"70"	"67"	"67"	"82"	"72"	"40"	"40"	"40"	"40"	"40"	"73"	"3"	"2"	"5"	"2"	"76"
"F. SÁNCHEZ"	"14"	"ESTUDIANTES"	"Superliga Quilmes Clásica"	"ARGENTINA"	"South America"	"176"	"74"	"28"	"Right foot"	"RB"	"72"	"76"	"75"	"71"	"74"	"64"	"64"	"68"	"65"	"62"	"68"	"77"	"82"	"78"	"69"	"74"	"72"	"40"	"40"	"40"	"40"	"40"	"82"	"2"	"2"	"5"	"2"	"76"
"RAFAEL GALHARDO"	"22"	"VASCO DA GAMA"	"Campeonato Brasileiro"	"BRAZIL"	"South America"	"176"	"70"	"27"	"Right foot"	"RB"	"67"	"71"	"69"	"69"	"73"	"67"	"74"	"76"	"67"	"67"	"68"	"70"	"83"	"80"	"75"	"69"	"70"	"40"	"40"	"40"	"40"	"40"	"80"	"2"	"3"	"3"	"3"	"76"
"MEXER"	"4"	"RENNES"	"Ligue 1 Conforama"	"MOZAMBIQUE"	"Africa"	"188"	"79"	"30"	"Right foot"	"CB"	"62"	"74"	"67"	"76"	"69"	"53"	"58"	"64"	"82"	"80"	"79"	"63"	"73"	"72"	"67"	"81"	"80"	"40"	"40"	"40"	"40"	"40"	"76"	"2"	"2"	"5"	"2"	"76"
"JOSUÉ"	"27"	"AKHISARSPOR"	"Spor Toto Süper Lig"	"PORTUGAL"	"Europe"	"174"	"68"	"28"	"Left foot"	"AMF"	"72"	"81"	"79"	"81"	"80"	"67"	"80"	"83"	"60"	"50"	"50"	"81"	"70"	"75"	"75"	"63"	"62"	"40"	"40"	"40"	"40"	"40"	"74"	"2"	"2"	"5"	"3"	"76"
"IBAI GÓMEZ"	"11"	"PV SKY BLUE WHITE"	"Spanish League"	"SPAIN"	"Europe"	"177"	"72"	"29"	"Right foot"	"LWF"	"77"	"80"	"78"	"75"	"76"	"77"	"80"	"81"	"60"	"48"	"52"	"78"	"77"	"75"	"78"	"62"	"62"	"40"	"40"	"40"	"40"	"40"	"75"	"3"	"2"	"4"	"2"	"76"
"A. ADEMI"	"5"	"DINAMO ZAGREB"	"Other European Leagues"	"FYROM"	"Europe"	"185"	"81"	"27"	"Right foot"	"DMF"	"64"	"72"	"65"	"77"	"71"	"64"	"61"	"64"	"79"	"75"	"81"	"78"	"74"	"72"	"69"	"83"	"71"	"40"	"40"	"40"	"40"	"40"	"84"	"4"	"4"	"6"	"2"	"76"
"T. BEUGELSDIJK"	"4"	"ADO DEN HAAG"	"Eredivisie"	"NETHERLANDS"	"Europe"	"192"	"87"	"28"	"Right foot"	"CB"	"60"	"68"	"67"	"68"	"65"	"58"	"58"	"54"	"83"	"77"	"80"	"76"	"71"	"67"	"74"	"84"	"79"	"40"	"40"	"40"	"40"	"40"	"77"	"4"	"4"	"4"	"2"	"76"
"D. BOYKO"	"71"	"DYNAMO KYIV"	"Other European Leagues"	"UKRAINE"	"Europe"	"194"	"82"	"30"	"Right foot"	"GK"	"42"	"52"	"46"	"59"	"61"	"48"	"50"	"41"	"70"	"60"	"42"	"78"	"68"	"69"	"63"	"81"	"76"	"84"	"81"	"77"	"88"	"86"	"53"	"2"	"2"	"4"	"2"	"76"
"J. AYEW"	"14"	"SOUTH NORWOOD"	"English League"	"GHANA"	"Africa"	"182"	"80"	"27"	"Right foot"	"CF"	"76"	"78"	"81"	"77"	"69"	"74"	"71"	"74"	"80"	"53"	"47"	"81"	"80"	"79"	"74"	"78"	"65"	"40"	"40"	"40"	"40"	"40"	"75"	"2"	"2"	"4"	"3"	"76"
"MUNIESA"	"20"	"CT CARMINE WHITE"	"Spanish League"	"SPAIN"	"Europe"	"179"	"72"	"26"	"Left foot"	"CB"	"63"	"74"	"68"	"73"	"68"	"61"	"60"	"68"	"72"	"80"	"80"	"66"	"70"	"67"	"71"	"73"	"85"	"40"	"40"	"40"	"40"	"40"	"76"	"2"	"2"	"4"	"1"	"76"
"J. FORREST"	"49"	"CELTIC"	"Ladbrokes Premiership"	"SCOTLAND"	"Europe"	"170"	"65"	"27"	"Right foot"	"RMF"	"69"	"77"	"77"	"72"	"75"	"70"	"63"	"68"	"57"	"51"	"52"	"70"	"90"	"92"	"85"	"63"	"66"	"40"	"40"	"40"	"40"	"40"	"72"	"1"	"1"	"4"	"2"	"76"
"F. SAMMARITANO"	"7"	"DIJON"	"Ligue 1 Conforama"	"FRANCE"	"Europe"	"162"	"65"	"32"	"Right foot"	"LWF"	"74"	"78"	"80"	"77"	"77"	"65"	"78"	"80"	"56"	"52"	"51"	"70"	"79"	"84"	"87"	"64"	"63"	"40"	"40"	"40"	"40"	"40"	"74"	"2"	"3"	"5"	"2"	"76"
"J. GUIDETTI"	"10"	"PV SKY BLUE WHITE"	"Spanish League"	"SWEDEN"	"Europe"	"185"	"79"	"26"	"Right foot"	"CF"	"77"	"80"	"76"	"67"	"56"	"78"	"74"	"73"	"75"	"44"	"59"	"82"	"77"	"77"	"60"	"82"	"71"	"40"	"40"	"40"	"40"	"40"	"77"	"3"	"3"	"4"	"1"	"76"
"R. BOAKYE"	NA	"Free Agents"	"Free Agent"	"GHANA"	"Africa"	"185"	"80"	"25"	"Right foot"	"CF"	"78"	"75"	"72"	"69"	"64"	"72"	"63"	"63"	"79"	"55"	"53"	"80"	"84"	"79"	"76"	"77"	"85"	"40"	"40"	"40"	"40"	"40"	"76"	"2"	"2"	"4"	"2"	"76"
"J. KURTIC"	"19"	"SPAL"	"Italian League"	"SLOVENIA"	"Europe"	"186"	"88"	"29"	"Right foot"	"AMF"	"76"	"76"	"75"	"75"	"74"	"72"	"70"	"76"	"76"	"65"	"64"	"86"	"72"	"70"	"66"	"85"	"76"	"40"	"40"	"40"	"40"	"40"	"81"	"3"	"2"	"6"	"2"	"76"
"M. DMITROVIC"	"1"	"PV BLUE RED"	"Spanish League"	"SERBIA"	"Europe"	"190"	"81"	"26"	"Left foot"	"GK"	"44"	"60"	"44"	"53"	"65"	"42"	"58"	"64"	"63"	"56"	"50"	"73"	"65"	"62"	"65"	"72"	"70"	"84"	"83"	"84"	"87"	"85"	"63"	"2"	"2"	"5"	"2"	"76"
"T. REAM"	"13"	"WEST LONDON WHITE"	"English League"	"USA"	"North & Central America"	"186"	"79"	"31"	"Left foot"	"CB"	"60"	"72"	"68"	"72"	"72"	"60"	"64"	"66"	"73"	"77"	"78"	"68"	"71"	"67"	"75"	"77"	"82"	"40"	"40"	"40"	"40"	"40"	"81"	"2"	"2"	"6"	"2"	"76"
"A. ROJAS"	"5"	"SAN LORENZO"	"Superliga Quilmes Clásica"	"ARGENTINA"	"South America"	"175"	"82"	"32"	"Left foot"	"LMF"	"68"	"81"	"78"	"79"	"84"	"70"	"73"	"85"	"62"	"66"	"62"	"84"	"72"	"73"	"78"	"72"	"66"	"40"	"40"	"40"	"40"	"40"	"77"	"2"	"3"	"4"	"1"	"76"
"R. SNODGRASS"	"11"	"EAST LONDON"	"English League"	"SCOTLAND"	"Europe"	"182"	"77"	"31"	"Left foot"	"LMF"	"78"	"81"	"79"	"77"	"83"	"74"	"82"	"83"	"60"	"56"	"61"	"82"	"69"	"70"	"71"	"72"	"65"	"40"	"40"	"40"	"40"	"40"	"80"	"2"	"2"	"4"	"2"	"76"
"A. DELORT"	"11"	"MONTPELLIER"	"Ligue 1 Conforama"	"FRANCE"	"Europe"	"182"	"82"	"27"	"Right foot"	"CF"	"83"	"76"	"72"	"67"	"70"	"78"	"73"	"73"	"78"	"46"	"43"	"82"	"77"	"73"	"71"	"78"	"75"	"40"	"40"	"40"	"40"	"40"	"77"	"3"	"3"	"5"	"3"	"76"
"M. WAKASO"	"22"	"PV SKY BLUE WHITE"	"Spanish League"	"GHANA"	"Africa"	"172"	"78"	"28"	"Left foot"	"LMF"	"75"	"77"	"77"	"75"	"76"	"62"	"74"	"77"	"66"	"55"	"69"	"82"	"77"	"79"	"70"	"64"	"66"	"40"	"40"	"40"	"40"	"40"	"83"	"2"	"2"	"4"	"3"	"76"
"RODRIGO MOLEDO"	"4"	"INTERNACIONAL"	"Campeonato Brasileiro"	"BRAZIL"	"South America"	"188"	"91"	"31"	"Right foot"	"CB"	"54"	"62"	"60"	"69"	"60"	"65"	"53"	"51"	"82"	"77"	"84"	"77"	"73"	"75"	"73"	"85"	"84"	"40"	"40"	"40"	"40"	"40"	"77"	"2"	"2"	"5"	"2"	"76"
"W. BOLY"	"15"	"WM GOLD"	"English League"	"FRANCE"	"Europe"	"195"	"90"	"27"	"Right foot"	"CB"	"64"	"65"	"63"	"72"	"64"	"57"	"60"	"63"	"79"	"81"	"81"	"72"	"75"	"72"	"67"	"90"	"74"	"40"	"40"	"40"	"40"	"40"	"74"	"2"	"3"	"6"	"2"	"76"
"LUÍS LEAL"	"7"	"NEWELL'S OLD BOYS"	"Superliga Quilmes Clásica"	"SAO TOME AND PRINCIPE"	"Africa"	"176"	"75"	"31"	"Right foot"	"CF"	"76"	"74"	"76"	"70"	"68"	"75"	"77"	"69"	"70"	"52"	"62"	"86"	"83"	"77"	"80"	"85"	"76"	"40"	"40"	"40"	"40"	"40"	"77"	"3"	"3"	"5"	"2"	"76"
"G. CAPRARI"	"17"	"SAMPDORIA"	"Italian League"	"ITALY"	"Europe"	"176"	"72"	"25"	"Right foot"	"SS"	"75"	"78"	"79"	"72"	"67"	"68"	"66"	"72"	"62"	"53"	"52"	"74"	"85"	"87"	"81"	"63"	"67"	"40"	"40"	"40"	"40"	"40"	"74"	"3"	"3"	"4"	"3"	"76"
"DANILO"	"23"	"BOLOGNA"	"Italian League"	"BRAZIL"	"South America"	"185"	"75"	"34"	"Right foot"	"CB"	"62"	"68"	"64"	"68"	"70"	"63"	"57"	"59"	"81"	"82"	"80"	"75"	"73"	"74"	"67"	"80"	"78"	"40"	"40"	"40"	"40"	"40"	"74"	"2"	"2"	"5"	"3"	"76"
"J. MARTIN"	"8"	"STRASBOURG"	"Ligue 1 Conforama"	"FRANCE"	"Europe"	"184"	"77"	"28"	"Right foot"	"CMF"	"77"	"79"	"76"	"81"	"74"	"71"	"64"	"73"	"70"	"62"	"75"	"72"	"76"	"73"	"64"	"74"	"67"	"40"	"40"	"40"	"40"	"40"	"79"	"3"	"3"	"3"	"2"	"76"
"K. LALA"	"27"	"STRASBOURG"	"Ligue 1 Conforama"	"FRANCE"	"Europe"	"178"	"78"	"27"	"Right foot"	"RB"	"71"	"71"	"69"	"67"	"77"	"54"	"56"	"79"	"63"	"67"	"69"	"84"	"80"	"76"	"78"	"76"	"77"	"40"	"40"	"40"	"40"	"40"	"79"	"3"	"3"	"5"	"3"	"76"
"M. LIVAJA"	"10"	"AEK ATHENS"	"Other European Leagues"	"CROATIA"	"Europe"	"182"	"81"	"25"	"Right foot"	"CF"	"78"	"77"	"76"	"74"	"68"	"78"	"72"	"69"	"78"	"52"	"47"	"78"	"75"	"75"	"78"	"75"	"71"	"40"	"40"	"40"	"40"	"40"	"77"	"3"	"4"	"5"	"3"	"76"
"F. MIDTSJØ"	"6"	"AZ"	"Eredivisie"	"NORWAY"	"Europe"	"176"	"70"	"25"	"Right foot"	"CMF"	"72"	"80"	"78"	"78"	"68"	"70"	"63"	"80"	"62"	"57"	"69"	"68"	"80"	"85"	"88"	"65"	"72"	"40"	"40"	"40"	"40"	"40"	"80"	"2"	"3"	"5"	"2"	"76"
"C. DAWSON"	"25"	"WEST MIDLANDS STRIPES"	"English 2nd Division"	"ENGLAND"	"Europe"	"188"	"82"	"28"	"Right foot"	"RB"	"64"	"70"	"65"	"64"	"67"	"62"	"57"	"63"	"85"	"79"	"83"	"70"	"71"	"69"	"66"	"82"	"87"	"40"	"40"	"40"	"40"	"40"	"80"	"2"	"2"	"5"	"1"	"76"
"N. MENDEZ-LAING"	"19"	"SOUTH WALES"	"English League"	"ENGLAND"	"Europe"	"178"	"75"	"26"	"Right foot"	"RMF"	"75"	"75"	"79"	"70"	"73"	"71"	"66"	"68"	"65"	"48"	"61"	"73"	"87"	"86"	"65"	"72"	"69"	"40"	"40"	"40"	"40"	"40"	"74"	"3"	"2"	"6"	"2"	"76"
"A. DEL VALLE"	"7"	"MILLONARIOS"	"Liga Águila"	"COLOMBIA"	"South America"	"174"	"64"	"29"	"Right foot"	"CF"	"75"	"75"	"78"	"72"	"74"	"80"	"74"	"77"	"71"	"40"	"64"	"76"	"80"	"81"	"70"	"72"	"74"	"40"	"40"	"40"	"40"	"40"	"78"	"4"	"4"	"6"	"2"	"76"
"FERNANDO PRASS"	"1"	"PALMEIRAS"	"Campeonato Brasileiro"	"BRAZIL"	"South America"	"191"	"85"	"40"	"Right foot"	"GK"	"52"	"57"	"56"	"60"	"66"	"45"	"55"	"43"	"70"	"58"	"48"	"75"	"68"	"65"	"72"	"79"	"78"	"81"	"80"	"82"	"88"	"83"	"65"	"2"	"2"	"6"	"2"	"76"
"J. FERNÁNDES"	"78"	"ALANYASPOR"	"Spor Toto Süper Lig"	"CHILE"	"South America"	"182"	"77"	"30"	"Right foot"	"LWF"	"75"	"76"	"78"	"73"	"67"	"75"	"62"	"70"	"77"	"51"	"52"	"82"	"80"	"78"	"75"	"70"	"80"	"40"	"40"	"40"	"40"	"40"	"74"	"3"	"3"	"5"	"1"	"76"
"RHODOLFO"	"44"	"FLAMENGO"	"Campeonato Brasileiro"	"BRAZIL"	"South America"	"193"	"88"	"32"	"Right foot"	"CB"	"56"	"68"	"61"	"68"	"66"	"51"	"53"	"53"	"88"	"77"	"86"	"75"	"69"	"65"	"68"	"91"	"78"	"40"	"40"	"40"	"40"	"40"	"73"	"1"	"2"	"6"	"2"	"76"
"RODRIGO CAIO"	"3"	"SÃO PAULO"	"Campeonato Brasileiro"	"BRAZIL"	"South America"	"182"	"75"	"25"	"Right foot"	"CB"	"63"	"74"	"64"	"73"	"71"	"58"	"61"	"64"	"81"	"78"	"76"	"71"	"76"	"77"	"64"	"75"	"82"	"40"	"40"	"40"	"40"	"40"	"80"	"2"	"2"	"7"	"2"	"76"
"WILLIAM POTTKER"	"99"	"INTERNACIONAL"	"Campeonato Brasileiro"	"BRAZIL"	"South America"	"180"	"74"	"25"	"Left foot"	"CF"	"80"	"74"	"77"	"69"	"68"	"78"	"63"	"60"	"74"	"50"	"55"	"78"	"81"	"83"	"80"	"77"	"72"	"40"	"40"	"40"	"40"	"40"	"78"	"4"	"3"	"5"	"2"	"76"
"NIKÃO"	"11"	"ATLÉTICO PR"	"Campeonato Brasileiro"	"BRAZIL"	"South America"	"174"	"75"	"26"	"Left foot"	"AMF"	"74"	"75"	"79"	"75"	"73"	"73"	"70"	"75"	"68"	"50"	"52"	"82"	"77"	"79"	"80"	"73"	"76"	"40"	"40"	"40"	"40"	"40"	"75"	"3"	"3"	"3"	"2"	"76"
"R. AMALFITANO"	"20"	"DIJON"	"Ligue 1 Conforama"	"FRANCE"	"Europe"	"175"	"72"	"29"	"Right foot"	"CMF"	"73"	"77"	"76"	"79"	"78"	"69"	"73"	"72"	"60"	"67"	"67"	"70"	"76"	"74"	"74"	"69"	"70"	"40"	"40"	"40"	"40"	"40"	"80"	"2"	"2"	"6"	"3"	"76"
"J. WARD-PROWSE"	"16"	"HAMPSHIRE RED"	"English League"	"ENGLAND"	"Europe"	"173"	"66"	"24"	"Right foot"	"RMF"	"72"	"78"	"73"	"83"	"88"	"65"	"83"	"85"	"62"	"65"	"67"	"76"	"71"	"72"	"80"	"66"	"69"	"40"	"40"	"40"	"40"	"40"	"78"	"2"	"2"	"4"	"3"	"76"
"G. CAMERON"	"5"	"NORTH WEST LONDON"	"English 2nd Division"	"USA"	"North & Central America"	"191"	"84"	"33"	"Right foot"	"DMF"	"67"	"72"	"71"	"75"	"68"	"61"	"65"	"65"	"78"	"81"	"82"	"70"	"68"	"67"	"68"	"81"	"82"	"40"	"40"	"40"	"40"	"40"	"81"	"2"	"2"	"4"	"1"	"76"
"G. FERNÁNDEZ"	"8"	"RACING CLUB"	"Superliga Quilmes Clásica"	"ARGENTINA"	"South America"	"178"	"75"	"27"	"Right foot"	"CMF"	"69"	"79"	"78"	"76"	"79"	"72"	"77"	"82"	"61"	"56"	"58"	"80"	"76"	"77"	"75"	"72"	"66"	"40"	"40"	"40"	"40"	"40"	"77"	"3"	"3"	"5"	"2"	"76"
"J. HANSEN"	"1"	"MIDTJYLLAND"	"Superliga"	"DENMARK"	"Europe"	"188"	"78"	"33"	"Right foot"	"GK"	"43"	"52"	"41"	"52"	"54"	"41"	"52"	"42"	"67"	"59"	"42"	"75"	"59"	"63"	"66"	"84"	"71"	"82"	"82"	"84"	"89"	"82"	"63"	"2"	"3"	"8"	"3"	"76"
"I. TRAORÉ"	"8"	"ANGERS SCO"	"Ligue 1 Conforama"	"CÔTE D'IVOIRE"	"Africa"	"184"	"87"	"32"	"Right foot"	"CB"	"62"	"70"	"62"	"65"	"68"	"61"	"54"	"64"	"79"	"80"	"79"	"72"	"68"	"67"	"68"	"84"	"82"	"40"	"40"	"40"	"40"	"40"	"78"	"2"	"2"	"5"	"3"	"76"
"RUBÉN PARDO"	"14"	"PV BLUE WHITE"	"Spanish League"	"SPAIN"	"Europe"	"182"	"68"	"26"	"Right foot"	"CMF"	"78"	"77"	"75"	"85"	"82"	"64"	"77"	"73"	"60"	"66"	"68"	"68"	"69"	"65"	"76"	"67"	"66"	"40"	"40"	"40"	"40"	"40"	"75"	"2"	"3"	"5"	"3"	"76"
"R. NEUSTÄDTER"	"33"	"FENERBAHÇE"	"Spor Toto Süper Lig"	"RUSSIA"	"Europe"	"188"	"83"	"30"	"Right foot"	"CB"	"66"	"74"	"68"	"75"	"70"	"59"	"62"	"65"	"76"	"82"	"80"	"75"	"73"	"72"	"67"	"77"	"75"	"40"	"40"	"40"	"40"	"40"	"77"	"2"	"3"	"5"	"3"	"76"
"S. DENSWIL"	"24"	"CLUB BRUGGE"	"Jupiler Pro League"	"NETHERLANDS"	"Europe"	"185"	"81"	"25"	"Left foot"	"CB"	"61"	"70"	"65"	"75"	"71"	"58"	"77"	"70"	"80"	"77"	"81"	"81"	"63"	"66"	"63"	"82"	"83"	"40"	"40"	"40"	"40"	"40"	"71"	"2"	"3"	"4"	"3"	"76"
"M. TROTTA"	"29"	"SASSUOLO"	"Italian League"	"ITALY"	"Europe"	"188"	"85"	"26"	"Left foot"	"CF"	"81"	"76"	"71"	"64"	"61"	"78"	"64"	"62"	"82"	"49"	"49"	"78"	"79"	"78"	"69"	"82"	"82"	"40"	"40"	"40"	"40"	"40"	"77"	"2"	"2"	"4"	"2"	"76"
"Y. BENZIA"	"39"	"FENERBAHÇE"	"Spor Toto Süper Lig"	"ALGERIA"	"Africa"	"178"	"76"	"24"	"Right foot"	"AMF"	"75"	"80"	"79"	"78"	"70"	"71"	"73"	"76"	"65"	"60"	"58"	"75"	"76"	"78"	"76"	"65"	"75"	"40"	"40"	"40"	"40"	"40"	"74"	"2"	"3"	"5"	"2"	"76"
"S. PRCIC"	"8"	"ED BLUE BURGUNDY"	"Spanish League"	"BOSNIA AND HERZEGOVINA"	"Europe"	"181"	"73"	"25"	"Right foot"	"CMF"	"73"	"76"	"74"	"78"	"77"	"65"	"75"	"74"	"65"	"72"	"73"	"75"	"72"	"71"	"70"	"73"	"66"	"40"	"40"	"40"	"40"	"40"	"78"	"2"	"3"	"5"	"2"	"76"
"M. LOWTON"	"2"	"LANCASHIRE CLARET"	"English League"	"ENGLAND"	"Europe"	"180"	"78"	"29"	"Right foot"	"RB"	"70"	"70"	"72"	"71"	"75"	"66"	"55"	"60"	"70"	"71"	"73"	"72"	"75"	"78"	"69"	"71"	"77"	"40"	"40"	"40"	"40"	"40"	"82"	"2"	"3"	"6"	"3"	"76"
"A. CORNELIUS"	"9"	"BORDEAUX"	"Ligue 1 Conforama"	"DENMARK"	"Europe"	"193"	"79"	"25"	"Left foot"	"CF"	"78"	"73"	"70"	"70"	"65"	"81"	"65"	"65"	"80"	"46"	"48"	"83"	"78"	"76"	"73"	"88"	"79"	"40"	"40"	"40"	"40"	"40"	"77"	"2"	"3"	"4"	"2"	"76"
"B. DABO"	"14"	"FIORENTINA"	"Italian League"	"BURKINA FASO"	"Africa"	"186"	"81"	"26"	"Right foot"	"CMF"	"67"	"75"	"75"	"74"	"71"	"66"	"58"	"61"	"79"	"76"	"77"	"79"	"76"	"74"	"70"	"84"	"80"	"40"	"40"	"40"	"40"	"40"	"82"	"2"	"3"	"5"	"3"	"76"
"T. CHEVALIER"	"9"	"KORTRIJK"	"Jupiler Pro League"	"FRANCE"	"Europe"	"179"	"78"	"31"	"Right foot"	"CF"	"77"	"75"	"75"	"67"	"72"	"77"	"66"	"71"	"65"	"59"	"54"	"79"	"82"	"83"	"80"	"72"	"75"	"40"	"40"	"40"	"40"	"40"	"75"	"2"	"3"	"4"	"2"	"76"
"O. ONAZI"	"20"	"TRABZONSPOR"	"Spor Toto Süper Lig"	"NIGERIA"	"Africa"	"170"	"65"	"26"	"Right foot"	"DMF"	"68"	"75"	"71"	"75"	"71"	"63"	"64"	"70"	"63"	"74"	"76"	"79"	"78"	"81"	"72"	"68"	"65"	"40"	"40"	"40"	"40"	"40"	"83"	"2"	"2"	"4"	"2"	"76"
"C. CHAMBERS"	"5"	"WEST LONDON WHITE"	"English League"	"ENGLAND"	"Europe"	"182"	"66"	"23"	"Right foot"	"CB"	"64"	"75"	"70"	"75"	"72"	"62"	"61"	"64"	"73"	"79"	"81"	"72"	"72"	"71"	"77"	"79"	"76"	"40"	"40"	"40"	"40"	"40"	"76"	"2"	"2"	"4"	"2"	"76"
"ARBILLA"	"23"	"PV BLUE RED"	"Spanish League"	"SPAIN"	"Europe"	"177"	"75"	"31"	"Right foot"	"RB"	"68"	"72"	"66"	"74"	"73"	"67"	"82"	"75"	"70"	"74"	"76"	"79"	"72"	"74"	"69"	"73"	"74"	"40"	"40"	"40"	"40"	"40"	"75"	"2"	"2"	"4"	"2"	"76"
"T. ROGIC"	"18"	"CELTIC"	"Ladbrokes Premiership"	"AUSTRALIA"	"Asia-Oceania"	"189"	"85"	"26"	"Left foot"	"AMF"	"76"	"81"	"81"	"77"	"73"	"73"	"67"	"75"	"65"	"52"	"57"	"79"	"71"	"74"	"80"	"73"	"64"	"40"	"40"	"40"	"40"	"40"	"74"	"2"	"3"	"4"	"1"	"76"
"T. JEDVAJ"	"16"	"BAYER LEVERKUSEN"	"Other European Leagues"	"CROATIA"	"Europe"	"184"	"81"	"23"	"Right foot"	"CB"	"63"	"70"	"69"	"72"	"65"	"57"	"52"	"69"	"78"	"75"	"77"	"75"	"77"	"79"	"70"	"79"	"83"	"40"	"40"	"40"	"40"	"40"	"79"	"2"	"2"	"6"	"2"	"76"
"Á. ROMERO"	"11"	"CORINTHIANS"	"Campeonato Brasileiro"	"PARAGUAY"	"South America"	"177"	"71"	"26"	"Right foot"	"LWF"	"75"	"71"	"74"	"71"	"73"	"72"	"63"	"71"	"72"	"66"	"69"	"72"	"81"	"83"	"71"	"67"	"77"	"40"	"40"	"40"	"40"	"40"	"85"	"2"	"3"	"6"	"3"	"76"
"C. KERBRAT"	"29"	"GUINGAMP"	"Ligue 1 Conforama"	"FRANCE"	"Europe"	"185"	"74"	"32"	"Right foot"	"CB"	"61"	"73"	"68"	"74"	"70"	"54"	"58"	"60"	"79"	"83"	"79"	"67"	"73"	"70"	"64"	"80"	"79"	"40"	"40"	"40"	"40"	"40"	"79"	"2"	"2"	"5"	"3"	"76"
"D. TÜRÜÇ"	"10"	"KAYSERISPOR"	"Spor Toto Süper Lig"	"TURKEY"	"Europe"	"177"	"72"	"25"	"Left foot"	"AMF"	"71"	"79"	"76"	"80"	"83"	"68"	"80"	"83"	"60"	"50"	"53"	"83"	"72"	"75"	"77"	"67"	"59"	"40"	"40"	"40"	"40"	"40"	"80"	"2"	"3"	"5"	"1"	"76"
"M. RYAN"	"1"	"EAST SUSSEX"	"English League"	"AUSTRALIA"	"Asia-Oceania"	"184"	"82"	"26"	"Right foot"	"GK"	"43"	"54"	"43"	"60"	"65"	"41"	"50"	"53"	"60"	"50"	"47"	"75"	"65"	"64"	"65"	"70"	"70"	"83"	"83"	"88"	"86"	"88"	"54"	"2"	"3"	"5"	"2"	"76"
"S. ILSANKER"	NA	"Free Agents"	"Free Agent"	"AUSTRIA"	"Europe"	"189"	"86"	"29"	"Right foot"	"DMF"	"54"	"75"	"65"	"80"	"73"	"54"	"54"	"63"	"81"	"82"	"82"	"77"	"75"	"70"	"70"	"84"	"75"	"40"	"40"	"40"	"40"	"40"	"85"	"2"	"2"	"7"	"2"	"76"
"WALTER"	"27"	"CORINTHIANS"	"Campeonato Brasileiro"	"BRAZIL"	"South America"	"188"	"82"	"31"	"Right foot"	"GK"	"40"	"53"	"51"	"56"	"58"	"46"	"52"	"43"	"60"	"57"	"42"	"76"	"63"	"64"	"58"	"82"	"73"	"87"	"86"	"82"	"83"	"81"	"58"	"2"	"2"	"7"	"1"	"76"
"BRUNO SILVA"	"20"	"CRUZEIRO"	"Campeonato Brasileiro"	"BRAZIL"	"South America"	"179"	"78"	"32"	"Right foot"	"DMF"	"69"	"70"	"71"	"74"	"70"	"67"	"62"	"65"	"76"	"79"	"77"	"77"	"77"	"75"	"71"	"79"	"80"	"40"	"40"	"40"	"40"	"40"	"77"	"2"	"3"	"5"	"2"	"76"
"S. ZUBER"	NA	"Free Agents"	"Free Agent"	"SWITZERLAND"	"Europe"	"181"	"79"	"27"	"Right foot"	"LMF"	"73"	"77"	"77"	"78"	"73"	"67"	"68"	"75"	"71"	"68"	"69"	"80"	"80"	"80"	"70"	"76"	"67"	"40"	"40"	"40"	"40"	"40"	"78"	"2"	"3"	"4"	"2"	"76"
"P. HØJBJERG"	"23"	"HAMPSHIRE RED"	"English League"	"DENMARK"	"Europe"	"185"	"84"	"23"	"Right foot"	"CMF"	"67"	"78"	"75"	"77"	"75"	"62"	"70"	"70"	"65"	"75"	"73"	"76"	"70"	"70"	"76"	"76"	"65"	"40"	"40"	"40"	"40"	"40"	"78"	"2"	"3"	"4"	"2"	"76"
"B. DOUGLAS"	"3"	"YORKSHIRE WHITES"	"English 2nd Division"	"SCOTLAND"	"Europe"	"177"	"70"	"29"	"Left foot"	"LB"	"68"	"70"	"67"	"73"	"85"	"65"	"82"	"80"	"62"	"67"	"70"	"77"	"80"	"76"	"70"	"63"	"69"	"40"	"40"	"40"	"40"	"40"	"83"	"2"	"2"	"6"	"2"	"76"
"Y. LODYGIN"	"1"	"ZENIT"	"Russian Premier Liga"	"RUSSIA"	"Europe"	"187"	"82"	"28"	"Right foot"	"GK"	"40"	"55"	"50"	"60"	"58"	"45"	"60"	"45"	"60"	"69"	"44"	"77"	"67"	"67"	"70"	"81"	"80"	"83"	"82"	"81"	"85"	"84"	"63"	"1"	"1"	"5"	"2"	"76"
